Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B7500;2024;L7502;;;;3. Entre 1971-1990;;;;Ensemble 2P;;;15,3;17,9;21,5;;17,9;;674;780;910;;801;45;450;4;
B7500;2024;L7502;;;;3. Entre 1971-1990;;;;Ensemble 3P;;;12,9;14,8;18;;15,7;;800;931;1228;;1031;66;381;4;
B7500;2024;L7502;;;;3. Entre 1971-1990;;;;Ensemble 4P+;;;10,6;13,1;16,2;;13,9;;920;1144;1453;;1280;92;264;4;
B7500;2024;L7502;;;;4. Après 1990;;;;;;;14,9;17,8;20,7;;17,4;;715;857;1065;;945;54;2164;4;
B7500;2024;L7502;;;;4. Après 1990;;;;Ensemble 1P;;;18,5;21,6;25,7;;21,7;;557;622;700;;625;29;333;4;
B7500;2024;L7502;;;;4. Après 1990;;;;Ensemble 2P;;;16,4;18,4;20,7;;18,6;;711;790;895;;825;44;851;4;
B7500;2024;L7502;;;;4. Après 1990;;;;Ensemble 3P;;;14,1;16,2;18,9;;16,6;;872;1003;1228;;1073;65;718;4;
B7500;2024;L7502;;;;4. Après 1990;;;;Ensemble 4P+;;;12,3;14,5;17,8;;15,4;;1000;1200;1665;;1430;93;262;4;
B7500;2024;L7502;;;Maison;;;;;;;;11,7;14,7;18,1;;15,1;;890;1098;1500;;1300;86;402;4;
B7500;2024;L7502;;;Appartement;;;;;;;;14,7;18;21,6;;17,4;;673;810;1000;;896;52;6538;4;
B7500;2024;L7502;;;Appartement;;;;;;Appart 1P;;18,9;22,3;26,6;;22,3;;548;618;696;;623;28;1218;4;
B7500;2024;L7502;;;Appartement;;;;;;Appart 2P;;16;18,4;21,2;;18,5;;698;781;895;;810;44;2407;4;
B7500;2024;L7502;;;Appartement;;;;;;Appart 3P;;13,5;15,9;18,9;;16,2;;815;950;1200;;1022;63;2073;4;
B7500;2024;L7502;;;Appartement;;;;;;Appart 4P+;;11,4;14,1;18,1;;15,2;;920;1111;1550;;1317;87;840;4;
B7500;2024;L7502;;;Appartement;;;;;Appart 1P;;;18,9;22,3;26,6;;22,3;;548;618;696;;623;28;1218;4;
B7500;2024;L7502;;;Appartement;;;;;Appart 2P;;;16;18,4;21,2;;18,5;;698;781;895;;810;44;2407;4;
B7500;2024;L7502;;;Appartement;;;;;Appart 3P;;;13,5;15,9;18,9;;16,2;;815;950;1200;;1022;63;2073;4;
B7500;2024;L7502;;;Appartement;;;;;Appart 4P+;;;11,4;14,1;18,1;;15,2;;920;1111;1550;;1317;87;840;4;
B7500;2024;L7502;;;Appartement;;;;1. Moins de 1 an;;;;16,3;18,9;23,2;;18,9;;680;825;1000;;910;48;742;4;
B7500;2024;L7502;;;Appartement;;;;1. Moins de 1 an;;Appart 1P;;19,5;24;30,1;;23,9;;558;624;710;;636;27;172;4;
B7500;2024;L7502;;;Appartement;;;;1. Moins de 1 an;;Appart 2P;;17;18,8;22,1;;19,4;;718;811;937;;850;44;302;4;
B7500;2024;L7502;;;Appartement;;;;1. Moins de 1 an;;Appart 3P;;14,2;16,7;19,7;;17,1;;856;990;1230;;1069;62;187;4;
B7500;2024;L7502;;;Appartement;;;;1. Moins de 1 an;;Appart 4P+;;12,9;15,8;19,6;;16,7;;1091;1306;1665;;1510;90;81;4;
B7500;2024;L7502;;;Appartement;;;1. Moins de 1 an;;;;;16,3;18,9;23,2;;18,9;;680;825;1000;;910;48;742;4;
B7500;2024;L7502;;;Appartement;;;1. Moins de 1 an;;Appart 1P;;;19,5;24;30,1;;23,9;;558;624;710;;636;27;172;4;
B7500;2024;L7502;;;Appartement;;;1. Moins de 1 an;;Appart 2P;;;17;18,8;22,1;;19,4;;718;811;937;;850;44;302;4;
B7500;2024;L7502;;;Appartement;;;1. Moins de 1 an;;Appart 3P;;;14,2;16,7;19,7;;17,1;;856;990;1230;;1069;62;187;4;
B7500;2024;L7502;;;Appartement;;;1. Moins de 1 an;;Appart 4P+;;;12,9;15,8;19,6;;16,7;;1091;1306;1665;;1510;90;81;4;
B7500;2024;L7502;;;Appartement;;1. Avant 1946;;;;;;17;20,1;23,6;;19,2;;655;797;986;;906;47;1553;4;
B7500;2024;L7502;;;Appartement;;2. Entre 1946-1970;;;;;;13,3;16,8;20,5;;16,3;;650;790;980;;868;53;1574;4;
B7500;2024;L7502;;;Appartement;;3. Entre 1971-1990;;;;;;14,2;17,6;22,1;;17;;660;800;985;;886;52;1332;4;
B7500;2024;L7502;;;Appartement;;4. Entre 1991-2005;;;;;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;Appartement;;5. Après 2005;;;;;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;Appartement;1. Avant 1946;;;;;;;17;20,1;23,6;;19,2;;655;797;986;;906;47;1553;4;
B7500;2024;L7502;;;Appartement;1. Avant 1946;;;;Appart 1P;;;22;25,5;28,6;;24,7;;518;595;680;;607;25;287;4;
B7500;2024;L7502;;;Appartement;1. Avant 1946;;;;Appart 2P;;;17,4;20,3;23,2;;20;;666;770;865;;777;39;652;4;
B7500;2024;L7502;;;Appartement;1. Avant 1946;;;;Appart 3P;;;14,8;17,6;20,3;;17,3;;820;965;1221;;1034;60;454;4;
B7500;2024;L7502;;;Appartement;1. Avant 1946;;;;Appart 4P+;;;14,6;19,5;22,5;;18,3;;1198;1597;1896;;1678;92;160;4;
B7500;2024;L7502;;;Appartement;2. Entre 1946-1970;;;;;;;13,3;16,8;20,5;;16,3;;650;790;980;;868;53;1574;4;
B7500;2024;L7502;;;Appartement;2. Entre 1946-1970;;;;Appart 1P;;;17,7;21,2;24,7;;21,2;;537;600;679;;616;29;296;4;
B7500;2024;L7502;;;Appartement;2. Entre 1946-1970;;;;Appart 2P;;;14,7;17,7;20,4;;17,5;;679;774;909;;813;46;471;4;
B7500;2024;L7502;;;Appartement;2. Entre 1946-1970;;;;Appart 3P;;;11,9;14,9;18,2;;15,3;;748;880;1050;;931;61;550;4;
B7500;2024;L7502;;;Appartement;2. Entre 1946-1970;;;;Appart 4P+;;;10,2;13;16,3;;14,3;;800;1012;1352;;1190;83;257;4;
B7500;2024;L7502;;;Appartement;3. Entre 1971-1990;;;;;;;14,2;17,6;22,1;;17;;660;800;985;;886;52;1332;4;
B7500;2024;L7502;;;Appartement;3. Entre 1971-1990;;;;Appart 1P;;;19,4;22,9;27,7;;22,7;;558;620;707;;633;28;304;4;
B7500;2024;L7502;;;Appartement;3. Entre 1971-1990;;;;Appart 2P;;;15,4;17,9;21,5;;18;;677;781;910;;804;45;441;4;
B7500;2024;L7502;;;Appartement;3. Entre 1971-1990;;;;Appart 3P;;;12,8;14,8;18;;15,7;;800;931;1240;;1033;66;367;4;
B7500;2024;L7502;;;Appartement;3. Entre 1971-1990;;;;Appart 4P+;;;11,6;13,2;16,4;;14,4;;920;1067;1473;;1255;87;220;4;
B7500;2024;L7502;;;Appartement;4. Après 1990;;;;;;;15,2;17,9;20,8;;17,7;;711;841;1030;;918;52;2079;4;
B7500;2024;L7502;;;Appartement;4. Après 1990;;;;Appart 1P;;;18,5;21,6;25,7;;21,6;;557;622;700;;625;29;331;4;
B7500;2024;L7502;;;Appartement;4. Après 1990;;;;Appart 2P;;;16,4;18,3;20,6;;18,6;;714;792;896;;827;44;843;4;
B7500;2024;L7502;;;Appartement;4. Après 1990;;;;Appart 3P;;;14,1;16,2;18,9;;16,7;;872;1004;1228;;1075;64;702;4;
B7500;2024;L7502;;;Appartement;4. Après 1990;;;;Appart 4P+;;;12,7;14,5;17,9;;15,5;;960;1138;1521;;1347;87;203;4;
B7500;2024;L7502;;;Appartement;;1. Avant 1946;;;;Appart 1P;;22;25,5;28,6;;24,7;;518;595;680;;607;25;287;4;
B7500;2024;L7502;;;Appartement;;1. Avant 1946;;;;Appart 2P;;17,4;20,3;23,2;;20;;666;770;865;;777;39;652;4;
B7500;2024;L7502;;;Appartement;;1. Avant 1946;;;;Appart 3P;;14,8;17,6;20,3;;17,3;;820;965;1221;;1034;60;454;4;
B7500;2024;L7502;;;Appartement;;1. Avant 1946;;;;Appart 4P+;;14,6;19,5;22,5;;18,3;;1198;1597;1896;;1678;92;160;4;
B7500;2024;L7502;;;Appartement;;2. Entre 1946-1970;;;;Appart 1P;;17,7;21,2;24,7;;21,2;;537;600;679;;616;29;296;4;
B7500;2024;L7502;;;Appartement;;2. Entre 1946-1970;;;;Appart 2P;;14,7;17,7;20,4;;17,5;;679;774;909;;813;46;471;4;
B7500;2024;L7502;;;Appartement;;2. Entre 1946-1970;;;;Appart 3P;;11,9;14,9;18,2;;15,3;;748;880;1050;;931;61;550;4;
B7500;2024;L7502;;;Appartement;;2. Entre 1946-1970;;;;Appart 4P+;;10,2;13;16,3;;14,3;;800;1012;1352;;1190;83;257;4;
B7500;2024;L7502;;;Appartement;;3. Entre 1971-1990;;;;Appart 1P;;19,4;22,9;27,7;;22,7;;558;620;707;;633;28;304;4;
B7500;2024;L7502;;;Appartement;;3. Entre 1971-1990;;;;Appart 2P;;15,4;17,9;21,5;;18;;677;781;910;;804;45;441;4;
B7500;2024;L7502;;;Appartement;;3. Entre 1971-1990;;;;Appart 3P;;12,8;14,8;18;;15,7;;800;931;1240;;1033;66;367;4;
B7500;2024;L7502;;;Appartement;;3. Entre 1971-1990;;;;Appart 4P+;;11,6;13,2;16,4;;14,4;;920;1067;1473;;1255;87;220;4;
B7500;2024;L7502;;;Appartement;;4. Entre 1991-2005;;;;Appart 1P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;Appartement;;4. Entre 1991-2005;;;;Appart 2P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;Appartement;;4. Entre 1991-2005;;;;Appart 3P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;Appartement;;4. Entre 1991-2005;;;;Appart 4P+;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;Appartement;;5. Après 2005;;;;Appart 1P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;Appartement;;5. Après 2005;;;;Appart 2P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;Appartement;;5. Après 2005;;;;Appart 3P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;;;Appartement;;5. Après 2005;;;;Appart 4P+;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;L7502.4.01;;;;;;;;;;22,5;26;29,6;;25,6;;1265;1665;2080;;1856;73;147;4;
B7500;2024;L7502;L7502.4.01;;;;;;;;Maison 1-3P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;;Maison 4P+;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;;Appart 1P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;;Appart 2P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;;Appart 3P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;;Appart 4P+;;22,5;22,5;26,9;;25,2;;1665;2821;3432;;2805;111;61;4;
B7500;2024;L7502;L7502.4.01;;;;;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;;Ensemble 2P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;;Ensemble 3P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;;Ensemble 4P+;;22,5;22,5;26,9;;25,2;;1665;2821;3432;;2805;111;61;4;
B7500;2024;L7502;L7502.4.01;;;;;;;Maison;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;Appart 1P;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;Appart 2P;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;Appart 3P;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;Appart 4P+;;;22,5;22,5;26,9;;25,2;;1665;2821;3432;;2805;111;61;4;
B7500;2024;L7502;L7502.4.01;;;;;;;Ensemble 1P;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;Ensemble 2P;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;Ensemble 3P;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;;Ensemble 4P+;;;22,5;22,5;26,9;;25,2;;1665;2821;3432;;2805;111;61;4;
B7500;2024;L7502;L7502.4.01;;;;;;1. Moins de 1 an;;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;;2. 1 an et plus;;;;21,2;25,6;29;;25,2;;1226;1828;2514;;1973;78;124;4;
B7500;2024;L7502;L7502.4.01;;;;;1. Moins de 1 an;;;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;;2. 1 an et plus;;;;;21,2;25,6;29;;25,2;;1226;1828;2514;;1973;78;124;4;
B7500;2024;L7502;L7502.4.01;;;;1. Avant 1946;;;;;;21,2;22,5;26;;22,9;;1499;1665;1828;;1885;82;79;4;
B7500;2024;L7502;L7502.4.01;;;;1. Avant 1946;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;1. Avant 1946;;;;Ensemble 2P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;1. Avant 1946;;;;Ensemble 3P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;1. Avant 1946;;;;Ensemble 4P+;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;2. Entre 1946-1970;;;;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;2. Entre 1946-1970;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;2. Entre 1946-1970;;;;Ensemble 2P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;2. Entre 1946-1970;;;;Ensemble 3P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;2. Entre 1946-1970;;;;Ensemble 4P+;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;3. Entre 1971-1990;;;;;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;3. Entre 1971-1990;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;3. Entre 1971-1990;;;;Ensemble 2P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;3. Entre 1971-1990;;;;Ensemble 3P;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;3. Entre 1971-1990;;;;Ensemble 4P+;;;;;;;;;;;;;;;4;Estimation directe
B7500;2024;L7502;L7502.4.01;;;;4. Entre 1991-2005;;;;;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;L7502.4.01;;;;4. Entre 1991-2005;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;L7502.4.01;;;;4. Entre 1991-2005;;;;Ensemble 2P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;L7502.4.01;;;;4. Entre 1991-2005;;;;Ensemble 3P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;L7502.4.01;;;;4. Entre 1991-2005;;;;Ensemble 4P+;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;L7502.4.01;;;;5. Après 2005;;;;;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
B7500;2024;L7502;L7502.4.01;;;;5. Après 2005;;;;Ensemble 1P;;;;;;;;;;;;;;;4;Estimation économétrique (pour valeur de marché)
