Commune,Code postal,Type local,Surface reelle bati,Valeur fonciere,Prix_m2,Date mutation
NICE,6000.0,Appartement,21.0,154800.0,7371.428571428572,24/01/2024
NICE,6100.0,Appartement,31.0,175000.0,5645.1612903225805,25/01/2024
NICE,6000.0,Appartement,29.0,371873.0,12823.206896551725,15/01/2024
NICE,6100.0,Appartement,35.0,202100.0,5774.285714285715,22/01/2024
NICE,6000.0,Appartement,23.0,200000.0,8695.652173913044,15/01/2024
NICE,6200.0,Appartement,24.0,196140.0,8172.5,22/01/2024
NICE,6000.0,Appartement,15.0,122000.0,8133.333333333333,25/01/2024
NICE,6000.0,Appartement,38.0,160000.0,4210.526315789473,19/01/2024
NICE,6200.0,Appartement,38.0,180000.0,4736.8421052631575,25/01/2024
NICE,6000.0,Appartement,16.0,86000.0,5375.0,16/01/2024
NICE,6300.0,Appartement,39.0,157500.0,4038.4615384615386,26/01/2024
NICE,6300.0,Appartement,40.0,120000.0,3000.0,22/01/2024
NICE,6100.0,Appartement,28.0,142000.0,5071.428571428572,30/01/2024
NICE,6200.0,Appartement,28.0,126000.0,4500.0,23/01/2024
NICE,6300.0,Appartement,29.0,203800.0,7027.586206896552,11/01/2024
NICE,6300.0,Appartement,25.0,57142.0,2285.68,26/01/2024
NICE,6100.0,Appartement,34.0,155000.0,4558.823529411765,29/01/2024
NICE,6000.0,Appartement,33.0,104000.0,3151.5151515151515,29/01/2024
NICE,6200.0,Appartement,18.0,91000.0,5055.555555555556,25/01/2024
NICE,6000.0,Appartement,25.0,145000.0,5800.0,22/01/2024
NICE,6300.0,Appartement,42.0,180100.0,4288.0952380952385,30/01/2024
NICE,6300.0,Appartement,15.0,75000.0,5000.0,26/01/2024
NICE,6200.0,Appartement,37.0,291000.0,7864.864864864865,26/01/2024
NICE,6200.0,Appartement,44.0,107000.0,2431.818181818182,25/01/2024
NICE,6000.0,Appartement,37.0,220000.0,5945.945945945946,25/01/2024
NICE,6100.0,Appartement,45.0,225000.0,5000.0,29/01/2024
NICE,6000.0,Appartement,45.0,158000.0,3511.1111111111113,26/01/2024
NICE,6000.0,Appartement,31.0,215000.0,6935.4838709677415,26/01/2024
NICE,6000.0,Appartement,35.0,139000.0,3971.4285714285716,23/01/2024
NICE,6000.0,Appartement,40.0,139000.0,3475.0,23/01/2024
NICE,6200.0,Appartement,44.0,180000.0,4090.909090909091,05/01/2024
NICE,6000.0,Appartement,25.0,220360.0,8814.4,31/01/2024
NICE,6000.0,Appartement,30.0,220360.0,7345.333333333333,31/01/2024
NICE,6200.0,Appartement,21.0,126500.0,6023.809523809524,29/01/2024
NICE,6300.0,Appartement,32.0,150000.0,4687.5,30/01/2024
NICE,6300.0,Appartement,17.0,113600.0,6682.35294117647,31/01/2024
NICE,6300.0,Appartement,20.0,135000.0,6750.0,05/02/2024
